name,product_url,scraped_at,description,image_url,price
یو پی اس آنلاین 3KVA فاران مدل Vigor RT باتری داخلی,https://artaelectric.ir/product/faran-model-vigor-rt-plus-3kva-online-ups-internal-battery/,2025-11-15 00:02:31,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین 6KVA فاران مدل Vigor RT بدون باتری,https://artaelectric.ir/product/faran-model-vigor-rt-plus-6kva-online-ups-without-battery/,2025-11-15 00:02:31,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین سه فاز 15KVA فاران مدل Titan pro بدون باتری,https://artaelectric.ir/product/faran-model-titan-pro-15kva-online-ups-whitout-battery/,2025-11-15 00:02:31,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین سه فاز 20KVA فاران مدل Titan pro بدون باتری,https://artaelectric.ir/product/faran-model-titan-pro-20kva-online-ups-whitout-battery/,2025-11-15 00:02:31,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس آنلاین سه فاز 30KVA فاران مدل Titan pro بدون باتری,https://artaelectric.ir/product/faran-model-titan-pro-30kva-online-ups-whitout-battery/,2025-11-15 00:02:31,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس اینتراکتیو 2000VA فاران مدل Trust بدون باتری,https://artaelectric.ir/product/faran-model-trust-plus-2000va-interactive-ups-without-battery/,2025-11-15 00:02:31,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس اینتراکتیو 3000VA فاران مدل Trust باتری داخلی,https://artaelectric.ir/product/faran-model-trust-plus-3000va-interactive-ups-internal-battery/,2025-11-15 00:02:31,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
یو پی اس لاین اینتراکتیو 1200VA فاران مدل Blazer Plus باتری داخلی,https://artaelectric.ir/product/faran-model-blazer-plus-1200va-interactive-ups/,2025-11-15 00:02:31,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
استابلایزر فاران مدل STB ظرفیت 1000VA,https://artaelectric.ir/product/faran-model-stb-capacity-1000va-smart-stabilizer/,2025-11-15 00:02:31,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
استابلایزر فاران مدل STB ظرفیت 10kva,https://artaelectric.ir/product/faran-model-stb-capacity-10kva-smart-stabilizer/,2025-11-15 00:02:31,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
استابلایزر فاران مدل STB ظرفیت 12kva,https://artaelectric.ir/product/faran-model-stb-capacity-12kva-smart-stabilizer/,2025-11-15 00:02:31,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20width='300'%20height='300'%20viewBox='0%200%20300%20300'%3E%3C/svg%3E",تماس بگیرید
